name,date,value,category
AJ Hosein ,1982-12-31,0,WI
AJ Ireland ,1982-12-31,0,ZIM
AJ Lamb ,1982-12-31,279,ENG
AJ Mackay ,1982-12-31,0,ZIM
AJ McKay ,1982-12-31,0,NZ
AJ Penn ,1982-12-31,0,NZ
AJ Pycroft ,1982-12-31,0,ZIM
AJ Redmond ,1982-12-31,0,NZ
AJ Stewart ,1982-12-31,0,ENG
AJ Strauss ,1982-12-31,0,ENG
AJ Traicos ,1982-12-31,0,ZIM
AJ Tudor ,1982-12-31,0,ENG
AJ Turner ,1982-12-31,0,AUS
AJ Tye ,1982-12-31,0,AUS
AJ Woodcock ,1982-12-31,0,AUS
AK Markram ,1982-12-31,0,SA
AK Patel ,1982-12-31,0,IND
AK Perera ,1982-12-31,0,SL
AK Sah ,1982-12-31,0,NEP
AK Sharma ,1982-12-31,0,IND
AK Zesers ,1982-12-31,0,AUS
Akeem Jordan ,1982-12-31,0,WI
Akhtar Sarfraz ,1982-12-31,0,PAK
Akif Raja ,1982-12-31,0,UAE
Akram Khan ,1982-12-31,0,BAN
Akram Raza ,1982-12-31,0,PAK
Akshay Homraj ,1982-12-31,0,USA
AL Kandappah ,1982-12-31,0,CAN
AL Logie ,1982-12-31,0,WI
AL Phehlukwayo ,1982-12-31,0,SA
Al Sahariar ,1982-12-31,0,BAN
AL Thomson ,1982-12-31,0,AUS
AL Wadekar ,1982-12-31,0,IND
Al-Amin Hossain ,1982-12-31,0,BAN
Alawi Shukri ,1982-12-31,0,UAE
ALF de Mel ,1982-12-31,32,SL
Ali Asad ,1982-12-31,0,UAE
Ali Khan ,1982-12-31,0,USA
Ali Naseer ,1982-12-31,0,UAE
Alok Kapali ,1982-12-31,0,BAN
AM Bacher ,1982-12-31,0,SA
AM Blignaut ,1982-12-31,0,ZIM
AM de Silva ,1982-12-31,0,SL
AM Ellis ,1982-12-31,0,NZ
AM Fernando ,1982-12-31,0,SL
AM Guruge ,1982-12-31,0,UAE
AM Hardie ,1982-12-31,0,AUS
AM McCarthy ,1982-12-31,0,WI
AM Nayar ,1982-12-31,0,IND
AM Phangiso ,1982-12-31,0,SA
AM Rahane ,1982-12-31,0,IND
AM Salvi ,1982-12-31,0,IND
AM Samad ,1982-12-31,0,CAN
AM Stuart ,1982-12-31,0,AUS
AM Tribe ,1982-12-31,0,JER
Aman Ali ,1982-12-31,0,UAE
AME Roberts ,1982-12-31,40,WI
Aminul Islam ,1982-12-31,0,BAN
Aminul Islam jnr ,1982-12-31,0,BAN
Amir Hamza ,1982-12-31,0,AFG
Amir Hayat ,1982-12-31,0,UAE
AMJ Hilditch ,1982-12-31,0,AUS
Amjad Ali ,1982-12-31,0,UAE
Amjad Javed ,1982-12-31,0,UAE
AMN Munasinghe ,1982-12-31,0,SL
AN Connolly ,1982-12-31,0,AUS
AN Cook ,1982-12-31,0,ENG
AN French ,1982-12-31,0,HKG
AN Kervezee ,1982-12-31,0,NED
AN Petersen ,1982-12-31,0,SA
AN Ranasinghe ,1982-12-31,75,SL
Anamul Haque ,1982-12-31,0,BAN
Anil Dalpat ,1982-12-31,0,PAK
Anisur Rahman ,1982-12-31,0,BAN
Ankur Vasishta ,1982-12-31,0,HKG
Ansh Tandon ,1982-12-31,0,UAE
Anshuman Rath ,1982-12-31,0,HKG
Anwar Ali ,1982-12-31,0,PAK
Anwar Hossain ,1982-12-31,0,BAN
Anwar Hossain Monir ,1982-12-31,0,BAN
AO Malhotra ,1982-12-31,32,IND
AO Suji ,1982-12-31,0,KENYA
AP Devcich ,1982-12-31,0,NZ
AP Grayson ,1982-12-31,0,ENG
AP Gurusinha ,1982-12-31,0,SL
AP Igglesden ,1982-12-31,0,ENG
AP Kuiper ,1982-12-31,0,SA
AP Sheahan ,1982-12-31,0,AUS
AP Weerakkody ,1982-12-31,0,SL
AP Wells ,1982-12-31,0,ENG
APB Tennekoon ,1982-12-31,0,SL
APE Knott ,1982-12-31,0,ENG
Aqib Ilyas ,1982-12-31,0,OMA
AR Adams ,1982-12-31,0,NZ
AR Berenger ,1982-12-31,0,UAE
AR Border ,1982-12-31,411,AUS
AR Butcher ,1982-12-31,0,ENG
AR Caddick ,1982-12-31,0,ENG
AR Cusack ,1982-12-31,0,IRE
AR Kapoor ,1982-12-31,0,IND
AR Khurasiya ,1982-12-31,0,IND
AR McBrine ,1982-12-31,0,IRE
AR Nurse ,1982-12-31,0,WI
AR Patel ,1982-12-31,0,IND
AR Pitcher ,1982-12-31,0,BER
AR Tait ,1982-12-31,0,NZ
AR White ,1982-12-31,0,IRE
AR Whittall ,1982-12-31,0,ZIM
Arafat Sunny ,1982-12-31,0,BAN
ARC Fraser ,1982-12-31,0,ENG
Ariful Haque ,1982-12-31,0,BAN
ARM Opatha ,1982-12-31,0,SL
Arshad Ali ,1982-12-31,0,UAE
Arshad Ayub ,1982-12-31,0,IND
Arshad Khan ,1982-12-31,0,PAK
Arshad Laeeq ,1982-12-31,0,UAE
Arshad Pervez ,1982-12-31,0,PAK
Arshdeep Singh ,1982-12-31,0,IND
Aryan Lakra ,1982-12-31,0,UAE
AS Hansra ,1982-12-31,0,CAN
AS Joseph ,1982-12-31,0,WI
AS Luseno ,1982-12-31,0,KENYA
AS Wassan ,1982-12-31,0,IND
ASA Perera ,1982-12-31,0,SL
Asad Ali ,1982-12-31,0,PAK
Asad Shafiq ,1982-12-31,0,PAK
Asghar Afghan ,1982-12-31,0,AFG
Asghar Ali ,1982-12-31,0,UAE
Ashfaq Ahmed ,1982-12-31,0,UAE
Ashraf Ali ,1982-12-31,33,PAK
Asif Ali ,1982-12-31,0,PAK
Asif Iqbal ,1982-12-31,0,PAK
Asif Iqbal  (UAE),1982-12-31,0,1
Asif Khan ,1982-12-31,0,UAE
Asif Mahmood ,1982-12-31,0,PAK
Asif Masood ,1982-12-31,0,PAK
Asif Mujtaba ,1982-12-31,0,PAK
Asim Butt ,1982-12-31,0,SCOT
Asim Saeed ,1982-12-31,0,UAE
AT Carey ,1982-12-31,0,AUS
AT Nidamanuru ,1982-12-31,0,NED
AT Rayudu ,1982-12-31,0,IND
Ata-ur-Rehman ,1982-12-31,0,PAK
Athar Ali Khan ,1982-12-31,0,BAN
Atiq-uz-Zaman ,1982-12-31,0,PAK
AU Rashid ,1982-12-31,0,ENG
AV Kale ,1982-12-31,0,IND
AV Lalcheta ,1982-12-31,0,OMA
AV Mankad ,1982-12-31,0,IND
AV Vadher ,1982-12-31,0,KENYA
Avesh Khan ,1982-12-31,0,IND
AW Greig ,1982-12-31,0,ENG
AW Hawkins-Kay ,1982-12-31,0,JER
AW Mathieson ,1982-12-31,0,NZ
AY Karim ,1982-12-31,0,KENYA
Ayaan Khan ,1982-12-31,0,OMA
Azam Khan ,1982-12-31,0,PAK
Azeem Hafeez ,1982-12-31,0,PAK
